                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.3597,                 1.0864,                 1.3689,                0.81003,                0.80229,                0.86803,                 0.5561,                 1.1975,                0.81444,                 1.2762,             0.00045676,             0.00045676,             0.00045676
                    112,                 1.3487,                 1.1204,                 1.3711,                0.81373,                0.79433,                0.87188,                0.56329,                 1.1893,                0.80959,                   1.27,             0.00044576,             0.00044576,             0.00044576
                    113,                 1.3355,                 1.0954,                 1.3651,                0.82609,                0.77875,                0.86917,                0.56015,                 1.1891,                0.81223,                 1.2681,             0.00043475,             0.00043475,             0.00043475
                    114,                 1.3437,                 1.0729,                 1.3607,                0.82017,                0.79487,                 0.8772,                0.56762,                 1.1794,                0.79494,                 1.2617,             0.00042375,             0.00042375,             0.00042375
                    115,                 1.3421,                 1.0945,                 1.3607,                0.82484,                0.79165,                0.87364,                0.56289,                 1.1859,                 0.8024,                 1.2666,             0.00041275,             0.00041275,             0.00041275
                    116,                 1.3305,                 1.0847,                 1.3552,                0.84008,                0.79254,                0.87902,                0.57078,                 1.1711,                0.78782,                 1.2589,             0.00040175,             0.00040175,             0.00040175
                    117,                 1.3413,                 1.0672,                 1.3536,                0.82131,                0.80227,                 0.8772,                0.57182,                 1.1717,                0.78777,                 1.2577,             0.00039074,             0.00039074,             0.00039074
                    118,                 1.3346,                 1.0829,                 1.3686,                0.82581,                0.80026,                0.87979,                0.57323,                 1.1692,                0.79225,                 1.2594,             0.00037974,             0.00037974,             0.00037974
                    119,                 1.3307,                 1.0914,                 1.3595,                0.83069,                0.80489,                0.88446,                0.57657,                 1.1609,                0.77711,                  1.251,             0.00036874,             0.00036874,             0.00036874
                    120,                 1.3192,                 1.0611,                 1.3528,                0.82963,                0.80569,                0.88292,                0.57922,                 1.1546,                 0.7802,                  1.251,             0.00035774,             0.00035774,             0.00035774
                    121,                 1.3243,                 1.0595,                 1.3474,                0.83626,                0.80051,                0.88443,                0.58038,                 1.1579,                0.77636,                 1.2484,             0.00034674,             0.00034674,             0.00034674
                    122,                 1.3188,                 1.0563,                 1.3491,                 0.8411,                0.80393,                0.88798,                0.58692,                 1.1469,                0.76973,                 1.2426,             0.00033573,             0.00033573,             0.00033573
                    123,                 1.3038,                 1.0403,                 1.3393,                0.83911,                0.81583,                  0.892,                0.58854,                 1.1451,                0.75648,                 1.2415,             0.00032473,             0.00032473,             0.00032473
                    124,                 1.3061,                 1.0471,                 1.3389,                0.84014,                0.80277,                  0.889,                0.58647,                 1.1393,                0.75973,                 1.2349,             0.00031373,             0.00031373,             0.00031373
                    125,                 1.2963,                 1.0409,                 1.3311,                0.83147,                 0.8151,                0.89001,                0.58903,                 1.1378,                0.76244,                 1.2326,             0.00030273,             0.00030273,             0.00030273
                    126,                   1.29,                 1.0218,                 1.3282,                0.84536,                0.81069,                0.89667,                0.59487,                  1.131,                0.73918,                 1.2291,             0.00029172,             0.00029172,             0.00029172
                    127,                 1.2921,                 1.0213,                 1.3223,                   0.84,                0.82085,                0.89661,                0.59529,                  1.128,                0.73861,                 1.2265,             0.00028072,             0.00028072,             0.00028072
                    128,                 1.2921,                 1.0136,                 1.3288,                0.83948,                  0.833,                0.89981,                0.59691,                 1.1254,                0.73131,                 1.2223,             0.00026972,             0.00026972,             0.00026972
                    129,                 1.2947,                 1.0267,                 1.3304,                0.84473,                0.82621,                0.89956,                0.60111,                 1.1178,                0.72781,                 1.2175,             0.00025872,             0.00025872,             0.00025872
                    130,                 1.2785,                 1.0027,                 1.3179,                0.84049,                  0.836,                0.90217,                0.60327,                 1.1147,                0.72443,                  1.217,             0.00024772,             0.00024772,             0.00024772
                    131,                 1.2737,                0.99355,                 1.3091,                 0.8486,                 0.8281,                0.90467,                0.60672,                 1.1122,                 0.7233,                 1.2143,             0.00023671,             0.00023671,             0.00023671
                    132,                 1.2857,                 1.0085,                 1.3116,                0.83773,                0.83603,                0.90315,                0.60706,                 1.1107,                0.72505,                 1.2115,             0.00022571,             0.00022571,             0.00022571
                    133,                  1.277,                0.99782,                 1.3107,                0.84781,                0.83326,                0.90724,                0.61212,                 1.1023,                0.71153,                 1.2066,             0.00021471,             0.00021471,             0.00021471
                    134,                 1.2734,                0.99034,                 1.3114,                0.85293,                0.83224,                0.90769,                0.61502,                 1.0984,                0.71036,                 1.2044,             0.00020371,             0.00020371,             0.00020371
